"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"104437376",44.6492113540173,4.70935621863812,0.860599472060688,5.47218116153576,4.44530057389186e-08,1.11798120850339e-06
"104421097",867.623249742904,1.402226331167,0.256326734918425,5.47046460687472,4.4885734088547e-08,1.12585390623166e-06
"104451005",57.714222798106,-1.69724089435972,0.310678645032027,-5.46301112580413,4.68125248445792e-08,1.17209922454688e-06
"104445258",261.31980336756,-1.53946172780955,0.282120925860861,-5.45674420680441,4.84944164766777e-08,1.2120597379441e-06
"104450481",15.9699617921272,-3.76657659625903,0.69051054134821,-5.45477059467457,4.90361098867057e-08,1.22451411396731e-06
"104423495",142.528801933659,2.20320169204929,0.404044520409811,5.45286863391849,4.95636843168081e-08,1.23659420340556e-06
"104422433",22.279926760914,3.27129689378645,0.600258940021853,5.44980953331133,5.0423792119122e-08,1.25694219612843e-06
"104435641",4299.27641560156,2.82612064067018,0.518732614847057,5.44812598973255,5.09032969095277e-08,1.26665717124608e-06
"104414282",10655.4172975112,-1.33881359975826,0.245820007793947,-5.44631664351949,5.14235596379597e-08,1.27847577609158e-06
"104418891",1200.13300238993,1.52576935127162,0.28036490531852,5.44208394962346,5.2660846285674e-08,1.30808429620524e-06
"104422318",1247.61988329312,-1.20749529776657,0.221919129550669,-5.44115011721364,5.29376806224522e-08,1.31323025408647e-06
"104440824",64.2560304462685,-1.53321646178733,0.281785765639455,-5.44107136962014,5.29610896998511e-08,1.31323025408647e-06
"104425031",723.758931347415,-1.81355567344484,0.33349790762324,-5.43798216417493,5.38873673690578e-08,1.33151815448343e-06
"104425956",108.496997228115,-1.64833266914997,0.303154541645207,-5.43726859642128,5.41035475681962e-08,1.33569020584371e-06
"104422382",301.995982631104,-1.58541974352449,0.291609489362148,-5.43679064420146,5.42488162055969e-08,1.33810585287547e-06
"104423870",264.62566385109,1.45707530723006,0.268111229567878,5.43459261135187,5.49217663827147e-08,1.3535217500327e-06
"104443755",7998.06700560261,-1.07117671958841,0.197138689072716,-5.43361997904583,5.52221231011365e-08,1.35973636096673e-06
"104455371",414.006333950036,-1.85490559798265,0.341481811118161,-5.43193088940484,5.57475142993276e-08,1.37035134632978e-06
"104421031",33.1810868228848,5.25832159289782,0.968043845719713,5.43190436688165,5.57558026330482e-08,1.37035134632978e-06
"104450093",116.764600100195,-1.92779971899071,0.354912113081496,-5.43176647946091,5.57989119332667e-08,1.37035134632978e-06
"104450748",1014.21643880858,-1.83305766738208,0.337630027974302,-5.42919028375523,5.66103015989047e-08,1.38906912218947e-06
"104445475",352.284386563534,-1.89233860662702,0.348570993931266,-5.42884703424339,5.67192696976881e-08,1.39053375528181e-06
"104437600",71.7261266781511,2.86415992467705,0.52773417762588,5.4272776827949,5.72200709724032e-08,1.40130202837315e-06
"104431584",239.369257219018,-1.98734811134506,0.366185655146862,-5.42715992123726,5.72578226208181e-08,1.40130202837315e-06
"104424129",62.8146272028783,-1.40639412023512,0.259294507583046,-5.42392561008909,5.83041543089451e-08,1.42443863748036e-06
"104420193",52.5204567449434,2.56552565618423,0.473157007392423,5.42214448079908,5.88882537728511e-08,1.43746431225113e-06
"104433989",71.5817285504343,3.13180941884559,0.577725163366251,5.4209330273886,5.92887706051973e-08,1.44599008551206e-06
"104431454",110.690218093595,-1.82160282684689,0.336108249456968,-5.4196909174052,5.97021628562712e-08,1.45481488037846e-06
"104422951",1410.6093003965,-1.4089271801044,0.260083667694093,-5.41720744172819,6.05370905094535e-08,1.47261691378945e-06
"104453362",320.447440488955,-1.76749080285327,0.326324024317465,-5.41636738683317,6.08220634794987e-08,1.4782747521658e-06
"104421791",49.6666589307077,-2.5386781102965,0.468794065015251,-5.41533756451015,6.11731852200697e-08,1.48552920872627e-06
"104453990",880.550025858814,-1.20302619749549,0.22236013588043,-5.41026021922562,6.29332352292024e-08,1.52433479115677e-06
"104439206",157.042951388683,1.39764314165428,0.25844631399117,5.40786641554514,6.37799652061275e-08,1.54351891782719e-06
"104435210",128.625374312872,-1.77295061129406,0.327974529090216,-5.40575701476617,6.45352366200975e-08,1.56045870346693e-06
"104450421",829.303073684615,-1.73127323647564,0.320357472918665,-5.40419182578328,6.51012454591972e-08,1.57279704141064e-06
"104453718",26.4647672120346,3.47062937456562,0.64255078307221,5.40133086130812,6.61482911270447e-08,1.59672581610175e-06
"104443708",346.566030142068,-1.46292889811971,0.270922265902239,-5.39981050744497,6.67113242452973e-08,1.60882530323603e-06
"104414653",944.148861049105,-1.7454499556142,0.323259012312357,-5.39953996372301,6.68120001693646e-08,1.60882530323603e-06
"104436110",210.205525980023,-1.55979007835061,0.288875857484338,-5.39951691336883,6.68205845698713e-08,1.60882530323603e-06
"104414868",851.3033380352,-1.61273286776725,0.298713432533924,-5.39892985088341,6.70395785644533e-08,1.61272193344565e-06
"104445549",289.567794786114,1.20640643624022,0.223508293261273,5.39759137630734,6.75414772854082e-08,1.62341175982934e-06
"104434076",521.623721125667,-1.20030507232811,0.222398596234888,-5.39708924718391,6.77307020586894e-08,1.62657442612093e-06
"104454461",180.486015676225,-1.55738626203675,0.288590790209214,-5.39652100785239,6.79454595576622e-08,1.63034436887595e-06
