sseqid	PathwayID	Description
AT1G67730	ath00062	Fatty acid elongation 
AT1G68530	ath00062	Fatty acid elongation 
AT2G16280	ath00062	Fatty acid elongation 
AT2G26250	ath00062	Fatty acid elongation 
AT2G26640	ath00062	Fatty acid elongation 
AT2G28630	ath00062	Fatty acid elongation 
AT3G45770	ath00062	Fatty acid elongation 
AT3G55360	ath00062	Fatty acid elongation 
AT3G60340	ath00062	Fatty acid elongation 
AT4G17470	ath00062	Fatty acid elongation 
AT5G04530	ath00062	Fatty acid elongation 
AT5G10480	ath00062	Fatty acid elongation 
AT5G43760	ath00062	Fatty acid elongation 
AT5G59770	ath00062	Fatty acid elongation 
AT1G04710	ath00071	Fatty acid degradation 
AT1G06290	ath00071	Fatty acid degradation 
AT1G22440	ath00071	Fatty acid degradation 
AT1G23800	ath00071	Fatty acid degradation 
AT1G32780	ath00071	Fatty acid degradation 
AT1G44170	ath00071	Fatty acid degradation 
AT1G54100	ath00071	Fatty acid degradation 
AT1G64400	ath00071	Fatty acid degradation 
AT1G65520	ath00071	Fatty acid degradation 
AT1G69500	ath00071	Fatty acid degradation 
AT1G77120	ath00071	Fatty acid degradation 
AT1G77590	ath00071	Fatty acid degradation 
AT2G04350	ath00071	Fatty acid degradation 
AT2G33150	ath00071	Fatty acid degradation 
AT2G47240	ath00071	Fatty acid degradation 
AT3G05970	ath00071	Fatty acid degradation 
AT3G06810	ath00071	Fatty acid degradation 
AT3G06860	ath00071	Fatty acid degradation 
AT3G23790	ath00071	Fatty acid degradation 
AT3G48000	ath00071	Fatty acid degradation 
AT3G51840	ath00071	Fatty acid degradation 
AT4G14430	ath00071	Fatty acid degradation 
AT4G16210	ath00071	Fatty acid degradation 
AT4G16760	ath00071	Fatty acid degradation 
AT4G22110	ath00071	Fatty acid degradation 
AT4G23850	ath00071	Fatty acid degradation 
AT4G29010	ath00071	Fatty acid degradation 
AT4G36250	ath00071	Fatty acid degradation 
AT5G24760	ath00071	Fatty acid degradation 
AT5G42250	ath00071	Fatty acid degradation 
AT5G43940	ath00071	Fatty acid degradation 
AT5G47720	ath00071	Fatty acid degradation 
AT5G48230	ath00071	Fatty acid degradation 
AT5G58860	ath00071	Fatty acid degradation 
AT5G65110	ath00071	Fatty acid degradation 
AT1G02205	ath00073	Cutin, suberine and wax biosynthesis 
AT1G11600	ath00073	Cutin, suberine and wax biosynthesis 
AT1G69500	ath00073	Cutin, suberine and wax biosynthesis 
AT1G70670	ath00073	Cutin, suberine and wax biosynthesis 
AT1G72970	ath00073	Cutin, suberine and wax biosynthesis 
AT2G45970	ath00073	Cutin, suberine and wax biosynthesis 
AT4G00360	ath00073	Cutin, suberine and wax biosynthesis 
AT4G33790	ath00073	Cutin, suberine and wax biosynthesis 
AT5G04660	ath00073	Cutin, suberine and wax biosynthesis 
AT5G23190	ath00073	Cutin, suberine and wax biosynthesis 
AT5G41040	ath00073	Cutin, suberine and wax biosynthesis 
AT5G58860	ath00073	Cutin, suberine and wax biosynthesis 
AT1G07420	ath00100	Steroid biosynthesis 
AT1G11680	ath00100	Steroid biosynthesis 
AT1G20050	ath00100	Steroid biosynthesis 
AT1G20330	ath00100	Steroid biosynthesis 
AT1G47290	ath00100	Steroid biosynthesis 
AT1G50430	ath00100	Steroid biosynthesis 
AT1G58440	ath00100	Steroid biosynthesis 
AT2G07050	ath00100	Steroid biosynthesis 
AT2G15230	ath00100	Steroid biosynthesis 
AT2G34500	ath00100	Steroid biosynthesis 
AT2G43420	ath00100	Steroid biosynthesis 
AT3G02580	ath00100	Steroid biosynthesis 
AT3G19820	ath00100	Steroid biosynthesis 
AT3G52940	ath00100	Steroid biosynthesis 
AT4G12110	ath00100	Steroid biosynthesis 
AT4G22756	ath00100	Steroid biosynthesis 
AT4G34640	ath00100	Steroid biosynthesis 
AT4G34650	ath00100	Steroid biosynthesis 
AT5G04040	ath00100	Steroid biosynthesis 
AT5G13710	ath00100	Steroid biosynthesis 
AT5G50375	ath00100	Steroid biosynthesis 
AT1G06570	ath00130	Ubiquinone and other terpenoid
AT1G18870	ath00130	Ubiquinone and other terpenoid
AT1G23360	ath00130	Ubiquinone and other terpenoid
AT1G30520	ath00130	Ubiquinone and other terpenoid
AT1G48320	ath00130	Ubiquinone and other terpenoid
AT1G51680	ath00130	Ubiquinone and other terpenoid
AT1G60550	ath00130	Ubiquinone and other terpenoid
AT1G60600	ath00130	Ubiquinone and other terpenoid
AT1G62940	ath00130	Ubiquinone and other terpenoid
AT1G64970	ath00130	Ubiquinone and other terpenoid
AT1G65060	ath00130	Ubiquinone and other terpenoid
AT1G68890	ath00130	Ubiquinone and other terpenoid
AT2G18950	ath00130	Ubiquinone and other terpenoid
AT2G30490	ath00130	Ubiquinone and other terpenoid
AT2G30920	ath00130	Ubiquinone and other terpenoid
AT3G11945	ath00130	Ubiquinone and other terpenoid
AT3G24200	ath00130	Ubiquinone and other terpenoid
AT3G63410	ath00130	Ubiquinone and other terpenoid
AT4G05160	ath00130	Ubiquinone and other terpenoid
AT4G19010	ath00130	Ubiquinone and other terpenoid
AT4G27270	ath00130	Ubiquinone and other terpenoid
